Date,Price,MarketCap,Addresses,Difficulty,TransFee,TweetsNum
22/04/2011,1.31,7823965.0,4248.0,92348.0,0.00361,
23/04/2011,1.546,9248175.0,4936.0,92348.0,0.00381,
24/04/2011,1.716,10279533.0,4657.0,92348.0,0.00541,
25/04/2011,1.595,9570399.0,5074.0,92348.0,0.00579,
26/04/2011,1.6869999999999998,10135612.0,6147.0,92348.0,0.00265,
27/04/2011,1.841,11079074.0,7489.0,92348.0,0.00386,
28/04/2011,2.046,12333888.0,6221.0,92348.0,0.00472,
29/04/2011,2.546,15367056.0,6747.0,92348.0,0.0056700000000000006,
30/04/2011,3.215,19437951.0,8157.0,107654.0,0.0077599999999999995,
01/05/2011,3.267,19783564.0,7490.0,109670.0,0.00982,
02/05/2011,3.1489999999999996,19102213.0,5987.0,109670.0,0.005229999999999999,
03/05/2011,3.305,20078536.0,6050.0,109670.0,0.00581,
04/05/2011,3.4410000000000003,20935716.0,6372.0,109670.0,0.008409999999999999,
05/05/2011,3.367,20522274.0,7096.0,109670.0,0.00985,
06/05/2011,3.3930000000000002,20713926.0,6852.0,109670.0,0.00838,
07/05/2011,3.5460000000000003,21686760.0,7278.0,109670.0,0.00642,
08/05/2011,3.753,22998889.0,6400.0,109670.0,0.0104,
09/05/2011,3.835,23539345.0,7565.0,115464.0,0.0127,
10/05/2011,4.81,29582943.0,7165.0,157416.0,0.0132,
11/05/2011,5.65,34800892.0,7085.0,157416.0,0.0156,
12/05/2011,5.895,36366224.0,7229.0,157416.0,0.0134,
13/05/2011,7.2589999999999995,44842418.0,9451.0,157416.0,0.0217,
14/05/2011,7.659,47391710.0,8975.0,157416.0,0.0266,
15/05/2011,6.995,43365851.0,8317.0,157416.0,0.0294,
16/05/2011,7.5120000000000005,46655597.0,11771.0,157416.0,0.0268,
17/05/2011,7.62,47421133.0,10497.0,157416.0,0.025,
18/05/2011,7.0360000000000005,43874393.0,12939.0,162534.0,0.0261,
19/05/2011,6.756,42227440.0,11998.0,244112.0,0.0244,
20/05/2011,6.1979999999999995,38791995.0,11600.0,244112.0,0.0236,
21/05/2011,5.96,37368275.0,10772.0,244112.0,0.0265,
22/05/2011,6.415,40293249.0,10834.0,244112.0,0.024,
23/05/2011,6.92,43551774.0,12092.0,244112.0,0.0227,
24/05/2011,7.285,45953100.0,13185.0,244112.0,0.0276,
25/05/2011,7.945,50234175.0,14562.0,244112.0,0.0278,
26/05/2011,8.524,54027876.0,14476.0,277625.0,0.0271,
27/05/2011,8.6,54637500.0,10813.0,434877.0,0.0254,
28/05/2011,8.425,53595112.0,11640.0,434877.0,0.0242,
29/05/2011,8.35,53182720.0,11196.0,434877.0,0.0252,
30/05/2011,8.624,55006122.0,12750.0,434877.0,0.0311,
31/05/2011,8.771,56007097.0,14046.0,434877.0,0.0296,
01/06/2011,9.156,58534315.0,13981.0,434877.0,0.0347,
02/06/2011,10.1,64667774.0,15519.0,434877.0,0.0344,
03/06/2011,12.445,79801091.0,17815.0,434877.0,0.0397,
04/06/2011,16.500999999999998,105971985.0,19418.0,434877.0,0.0618,
05/06/2011,17.833,114729496.0,17861.0,434877.0,0.0504,
06/06/2011,17.625,113574295.0,20962.0,484311.0,0.0545,
07/06/2011,21.092,136161191.0,18964.0,567270.0,0.0694,
08/06/2011,26.8,173237555.0,27306.0,567270.0,0.102,
09/06/2011,29.415,190410351.0,26278.0,567270.0,0.107,
10/06/2011,26.434,171412543.0,24144.0,567270.0,0.0919,
11/06/2011,19.301,125368326.0,23770.0,567270.0,0.0641,
12/06/2011,16.648,108349814.0,27014.0,567270.0,0.0604,
13/06/2011,19.194000000000003,125141673.0,25809.0,567270.0,0.0637,
14/06/2011,19.54,127619646.0,29778.0,567270.0,0.0509,
15/06/2011,19.385,126848024.0,27541.0,688258.0,0.063,
16/06/2011,18.25,119674374.0,28867.0,876954.0,0.0463,
17/06/2011,16.340999999999998,107299892.0,26054.0,876954.0,0.0455,
18/06/2011,16.445,108139030.0,26115.0,876954.0,0.040999999999999995,
19/06/2011,17.18,113141466.0,27766.0,876954.0,0.0395,
20/06/2011,17.0,112145599.0,25961.0,876954.0,0.0314,
21/06/2011,17.0,112344499.0,24996.0,876954.0,0.0322,
22/06/2011,17.0,112559549.0,26764.0,876954.0,0.0268,
23/06/2011,17.0,112780549.0,24369.0,876954.0,0.0243,
24/06/2011,17.0,112984549.0,25212.0,1067619.0,0.026000000000000002,
25/06/2011,17.0,113168149.0,22628.0,1379192.0,0.0417,
26/06/2011,16.98,113156483.0,23539.0,1379192.0,0.0436,
27/06/2011,16.6,110747895.0,30137.0,1379192.0,0.038,
28/06/2011,16.85,112557331.0,26180.0,1379192.0,0.0317,
29/06/2011,16.9,113026898.0,24333.0,1379192.0,0.0344,
30/06/2011,16.473,110316372.0,23459.0,1379192.0,0.0309,
01/07/2011,15.735999999999999,105525896.0,30214.0,1379192.0,0.0282,
02/07/2011,15.385,103308875.0,32230.0,1379192.0,0.0289,
03/07/2011,15.42,103673522.0,22246.0,1379192.0,0.0251,
04/07/2011,14.65,98618830.0,23558.0,1379192.0,0.0248,
05/07/2011,13.392000000000001,90265146.0,23298.0,1379192.0,0.0285,
06/07/2011,13.853,93468567.0,26919.0,1406124.0,0.0227,
07/07/2011,14.737,99546500.0,22941.0,1563028.0,0.0228,
08/07/2011,14.545,98344105.0,24626.0,1563028.0,0.023,
09/07/2011,14.347000000000001,97123416.0,22762.0,1563028.0,0.0242,
10/07/2011,14.638,99199068.0,28708.0,1563028.0,0.0222,
11/07/2011,14.555,98736678.0,25850.0,1563028.0,0.0209,
12/07/2011,14.109000000000002,95826667.0,23044.0,1563028.0,0.0225,
13/07/2011,13.989,95110418.0,27175.0,1563028.0,0.0232,
14/07/2011,13.985,95214774.0,28843.0,1563028.0,0.0218,
15/07/2011,13.905,94770188.0,24433.0,1563028.0,0.0289,
16/07/2011,13.765,93924129.0,24053.0,1563028.0,0.0176,
17/07/2011,13.44,91811943.0,24674.0,1563028.0,0.0199,
18/07/2011,13.32,91108799.0,27882.0,1563028.0,0.0196,
19/07/2011,13.66,93553077.0,24900.0,1583739.0,0.0224,
20/07/2011,13.787,94515688.0,25886.0,1690896.0,0.0167,
21/07/2011,13.665,93782959.0,25435.0,1690896.0,0.0154,
22/07/2011,13.652999999999999,93802991.0,24454.0,1690896.0,0.0209,
23/07/2011,13.69,94162522.0,21907.0,1690896.0,0.0145,
24/07/2011,13.835,95262303.0,23227.0,1690896.0,0.0175,
25/07/2011,14.014000000000001,96609057.0,26960.0,1690896.0,0.0182,
26/07/2011,13.956,96324767.0,23820.0,1690896.0,0.0133,
27/07/2011,13.911,96135244.0,23479.0,1690896.0,0.0158,
28/07/2011,13.690999999999999,94732479.0,25901.0,1690896.0,0.013000000000000001,
29/07/2011,13.494000000000002,93478440.0,22221.0,1690896.0,0.0134,
30/07/2011,13.515999999999998,93739662.0,19760.0,1690896.0,0.0127,
31/07/2011,13.443,93337828.0,24137.0,1690896.0,0.0115,
01/08/2011,13.222000000000001,91920488.0,23757.0,1807232.0,0.0127,
02/08/2011,12.573,87510311.0,21703.0,1888787.0,0.0108,
03/08/2011,10.655,74241908.0,18410.0,1888787.0,0.0115,
04/08/2011,10.019,69885549.0,18966.0,1888787.0,0.00953,
05/08/2011,10.255,71603180.0,21510.0,1888787.0,0.009059999999999999,
06/08/2011,8.145,56927267.0,20231.0,1888787.0,0.0292,
07/08/2011,7.218,50487855.0,20060.0,1888787.0,0.00717,
08/08/2011,7.85,54961459.0,24628.0,1888787.0,0.00875,
09/08/2011,8.895,62338688.0,23668.0,1888787.0,0.0115,
10/08/2011,9.975,69979908.0,19710.0,1888787.0,0.0131,
11/08/2011,9.775,68654202.0,18290.0,1888787.0,0.00932,
12/08/2011,9.462,66515485.0,17126.0,1888787.0,0.00818,
13/08/2011,9.801,68963042.0,19184.0,1888787.0,0.009290000000000001,
14/08/2011,10.463,73691602.0,21506.0,1888787.0,0.0147,
15/08/2011,10.970999999999998,77341870.0,19220.0,1887499.0,0.013000000000000001,
16/08/2011,11.059000000000001,78037102.0,20992.0,1805701.0,0.0116,
17/08/2011,10.934000000000001,77235628.0,20363.0,1805701.0,0.00972,
18/08/2011,10.904000000000002,77094303.0,20675.0,1805701.0,0.008879999999999999,
19/08/2011,11.24,79551134.0,22233.0,1805701.0,0.0117,
20/08/2011,11.555,81854001.0,21113.0,1805701.0,0.00889,
21/08/2011,11.382,80718046.0,22784.0,1805701.0,0.008620000000000001,
22/08/2011,11.103,78828301.0,25202.0,1805701.0,0.011000000000000001,
23/08/2011,10.925,77652473.0,22694.0,1805701.0,0.0107,
24/08/2011,10.895,77529355.0,22129.0,1805701.0,0.0131,
25/08/2011,10.254000000000001,73033274.0,23113.0,1805701.0,0.00865,
26/08/2011,8.918,63580558.0,21536.0,1805701.0,0.00575,
27/08/2011,8.385,59839347.0,20857.0,1805701.0,0.0067599999999999995,
